date,time,message
6/28/2017,5:56:20 AM,remove need upgrade groups
6/28/2017,5:56:42 AM,remove need upgrade groups
6/28/2017,5:56:42 AM,DisconnectedWithAircraft
6/28/2017,5:56:45 AM,upgrade state 1
6/28/2017,1:40:31 PM,remove need upgrade groups
6/28/2017,1:40:50 PM,remove need upgrade groups
6/28/2017,1:40:50 PM,DisconnectedWithAircraft
6/28/2017,1:40:53 PM,upgrade state 1
6/28/2017,1:42:34 PM,remove need upgrade groups
6/28/2017,1:42:34 PM,DisconnectedWithAircraft
6/28/2017,1:42:37 PM,upgrade state 1
6/28/2017,1:43:32 PM,remove need upgrade groups
6/28/2017,1:43:32 PM,DisconnectedWithAircraft
6/28/2017,1:43:44 PM,remove need upgrade groups
6/28/2017,2:05:05 PM,remove need upgrade groups
6/28/2017,2:05:07 PM,remove need upgrade groups
6/28/2017,2:05:07 PM,DisconnectedWithAircraft
6/28/2017,2:13:32 PM,upgrade state 1
6/28/2017,2:13:36 PM,remove need upgrade groups
6/28/2017,2:13:36 PM,DisconnectedWithAircraft
6/28/2017,2:13:39 PM,upgrade state 1
