date,time,message
2018-06-19,16:43:51.067,remove need upgrade groups
2018-06-19,16:43:51.410,remove need upgrade groups
2018-06-19,16:44:50.638,remove need upgrade groups
2018-06-19,16:44:50.642,DisconnectedWithAircraft
2018-06-19,17:11:52.779,upgrade state 1
2018-06-19,17:12:18.460,upgrade state 1
2018-06-19,17:12:27.784,remove need upgrade groups
2018-06-19,17:12:27.785,DisconnectedWithAircraft
2018-06-19,17:14:57.800,ConnectedToAircraft
2018-06-19,17:23:39.187,remove need upgrade groups
2018-06-19,17:23:39.188,DisconnectedWithAircraft
2018-06-19,17:25:07.029,remove need upgrade groups
2018-06-19,17:25:07.032,DisconnectedWithAircraft
