drone_model,dataset,controller,source_file,date,time,message
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:06.1,Data Recorder File Index is 8.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:12.1,Home Point Updated.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,23:01.9,Exited Visual Avoidance System.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:06.0,Motors Started.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:12.5,Landing Gear Raising.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:19.2,Landing Gear Raised.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:56.9,Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,23:03.5,Landing Gear Lowering.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,23:09.7,Landing Gear Lowered.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:11.5,Strong wireless interference. Please fly with caution.; Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:50.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:50.3,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:50.4,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:50.7,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,18:50.8,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,19:16.0,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,19:16.1,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,19:16.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,19:16.4,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:08.3,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:08.4,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:08.6,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:08.7,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:08.9,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:46.5,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:46.9,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:46.9,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:47.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:48.7,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:48.8,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:49.0,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,20:49.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:20.9,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:21.0,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:21.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:21.3,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:21.4,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:27.8,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:27.9,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:28.0,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:28.1,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:28.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,21:44.6,Strong wireless interference. Please fly with caution.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:15.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:15.4,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:15.6,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:15.8,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:16.0,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:16.0,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:16.2,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:16.3,GPS Position Mismatch.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,22:56.1,Strong wireless interference. Please fly with caution.
DJI_Inspire_2,df025,mobile_android_physical,1905-DJIFlightRecord_2017-08-29_[13-18-04].csv,8/29/2017,23:02.4,Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.
