date,time,message
2017-08-28,11:03:06.390,"sub module info: modueID: 0x28, firmwareVersion: 00.00.00.00, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:06.391,handle state init => upgrading
2017-08-28,11:03:06.394,upgrade progress 7%
2017-08-28,11:03:08.377,"sub module info: modueID: 0x28, firmwareVersion: 00.00.00.00, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:08.377,upgrade progress 7%
2017-08-28,11:03:09.366,"sub module info: modueID: 0x28, firmwareVersion: 00.00.00.00, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:09.366,upgrade progress 8%
2017-08-28,11:03:09.744,"sub module info: modueID: 0x28, firmwareVersion: 00.00.00.00, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:09.745,upgrade progress 15%
2017-08-28,11:03:11.354,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:11.356,upgrade progress 20%
2017-08-28,11:03:13.348,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:13.348,upgrade progress 20%
2017-08-28,11:03:15.355,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:15.355,upgrade progress 20%
2017-08-28,11:03:17.348,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:17.348,upgrade progress 20%
2017-08-28,11:03:19.354,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:19.354,upgrade progress 20%
2017-08-28,11:03:21.360,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:21.360,upgrade progress 20%
2017-08-28,11:03:23.241,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 5%"
2017-08-28,11:03:23.242,upgrade progress 20%
2017-08-28,11:03:23.602,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 10%"
2017-08-28,11:03:23.609,upgrade progress 22%
2017-08-28,11:03:23.955,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 15%"
2017-08-28,11:03:23.960,upgrade progress 24%
2017-08-28,11:03:24.403,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 20%"
2017-08-28,11:03:24.403,upgrade progress 24%
2017-08-28,11:03:24.760,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 25%"
2017-08-28,11:03:24.763,upgrade progress 26%
2017-08-28,11:03:25.123,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 30%"
2017-08-28,11:03:25.126,upgrade progress 28%
2017-08-28,11:03:25.552,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 35%"
2017-08-28,11:03:25.553,upgrade progress 28%
2017-08-28,11:03:25.914,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 40%"
2017-08-28,11:03:25.917,upgrade progress 30%
2017-08-28,11:03:26.285,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 45%"
2017-08-28,11:03:26.289,upgrade progress 32%
2017-08-28,11:03:26.713,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 50%"
2017-08-28,11:03:26.713,upgrade progress 32%
2017-08-28,11:03:27.082,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 55%"
2017-08-28,11:03:27.086,upgrade progress 34%
2017-08-28,11:03:29.074,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 55%"
2017-08-28,11:03:29.074,upgrade progress 34%
2017-08-28,11:03:31.074,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrading. (code 1), progress: 55%"
2017-08-28,11:03:31.075,upgrade progress 34%
2017-08-28,11:03:32.519,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrade Completed. (code 0), progress: 100%"
2017-08-28,11:03:32.523,upgrade progress 46%
2017-08-28,11:03:34.523,"sub module info: modueID: 0x24, firmwareVersion: 01.06.19.17, state:Upgrade Completed. (code 0), progress: 100%"
2017-08-28,11:03:34.524,upgrade progress 46%
2017-08-28,11:03:35.545,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:35.545,upgrade progress 46%
2017-08-28,11:03:37.541,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:37.541,upgrade progress 46%
2017-08-28,11:03:39.544,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:39.545,upgrade progress 46%
2017-08-28,11:03:41.538,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:41.541,upgrade progress 46%
2017-08-28,11:03:43.542,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:43.543,upgrade progress 46%
2017-08-28,11:03:45.535,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:45.535,upgrade progress 46%
2017-08-28,11:03:47.530,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:47.530,upgrade progress 46%
2017-08-28,11:03:49.542,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 0%"
2017-08-28,11:03:49.542,upgrade progress 46%
2017-08-28,11:03:50.414,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 8%"
2017-08-28,11:03:50.417,upgrade progress 48%
2017-08-28,11:03:52.419,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 9%"
2017-08-28,11:03:52.419,upgrade progress 48%
2017-08-28,11:03:54.416,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 10%"
2017-08-28,11:03:54.416,upgrade progress 48%
2017-08-28,11:03:56.413,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 11%"
2017-08-28,11:03:56.413,upgrade progress 48%
2017-08-28,11:03:58.417,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 12%"
2017-08-28,11:03:58.420,upgrade progress 49%
2017-08-28,11:04:00.423,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 13%"
2017-08-28,11:04:00.424,upgrade progress 49%
2017-08-28,11:04:02.425,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 14%"
2017-08-28,11:04:02.426,upgrade progress 49%
2017-08-28,11:04:04.416,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 15%"
2017-08-28,11:04:04.420,upgrade progress 50%
2017-08-28,11:04:06.426,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:06.427,upgrade progress 50%
2017-08-28,11:04:07.860,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:07.861,upgrade progress 50%
2017-08-28,11:04:09.858,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:09.858,upgrade progress 50%
2017-08-28,11:04:11.858,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:11.859,upgrade progress 50%
2017-08-28,11:04:13.863,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:13.864,upgrade progress 50%
2017-08-28,11:04:15.862,"sub module info: modueID: 0x01, firmwareVersion: 01.06.15.82, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:15.863,upgrade progress 50%
2017-08-28,11:04:16.092,"sub module info: modueID: 0x01, firmwareVersion: 06.05.50.35, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:16.093,upgrade progress 50%
2017-08-28,11:04:16.445,"sub module info: modueID: 0x01, firmwareVersion: 06.05.50.35, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:16.446,upgrade progress 50%
2017-08-28,11:04:16.934,"sub module info: modueID: 0x01, firmwareVersion: 06.05.50.35, state:Upgrading. (code 1), progress: 16%"
2017-08-28,11:04:16.934,upgrade progress 50%
2017-08-28,11:04:17.447,"sub module info: modueID: 0x01, firmwareVersion: 06.05.50.35, state:Upgrading. (code 1), progress: 17%"
2017-08-28,11:04:17.448,upgrade progress 50%
2017-08-28,11:04:17.944,"sub module info: modueID: 0x01, firmwareVersion: 06.05.50.35, state:Upgrading. (code 1), progress: 18%"
2017-08-28,11:04:17.948,upgrade progress 51%
2017-08-28,11:04:18.431,"sub module info: modueID: 0x01, firmwareVersion: 06.05.50.35, state:Upgrading. (code 1), progress: 20%"
2017-08-28,11:04:18.431,upgrade progress 51%
2017-08-28,11:04:18.939,"sub module info: modueID: 0x01, firmwareVersion: 06.05.50.35, state:Upgrading. (code 1), progress: 20%"
