drone_model,dataset,controller,source_file,date,time,message
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:30:29,Motors Started
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:30:44,Obstacle Avoidance Disabled.
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:30:44,Landing gear lowered. Obstacle Avoidance Disabled.
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:30:46,Landing Gear Raising
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:30:48,"Home Point Recorded, Return-to-Home Altitude:98FT"
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:30:55,Landing Gear Raised
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:31:08,Strong wireless interference. Please fly with caution.
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:32:32,Strong wireless interference. Please fly with caution.
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:34:44,Large Wind Velocity. Fly with caution.
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:34:55,Large Wind Velocity. Fly with caution.
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:35:15,Large Wind Velocity. Fly with caution.
DJI_Inspire_2,df026,mobile_android_physical,29-08-2017-095XDB800200GQ,29/08/2017,14:35:25,Magnetic Filed Interference. Exit P-GPS Mode
