date,time,message
8/26/2017,32:14.2,need upgrade groups: (
8/26/2017,32:14.2,handle state init => download_init
8/26/2017,32:16.2,need upgrade groups: (
8/26/2017,32:16.2,need upgrade groups: (
8/26/2017,32:16.7,handle state download_init => downloading
8/26/2017,32:16.7,download pack version: 01.01.0010
8/26/2017,32:16.8,start download wm620_0801_v01.00.00.82_20170601.pro.fw.sig
8/26/2017,32:17.2,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/a3af7cc5-620e-4450-8c82-08836cea0de2/wm620_0801_v01.00.00.82_20170601.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223217Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=a44aba7b7afdc238f1d23d1fd7b7125b7af10f117d60b472899fd9f2f262995b
8/26/2017,32:38.4,start download completed wm620_0801_v01.00.00.82_20170601.pro.fw.sig
8/26/2017,32:38.4,start download wm620_0900_v01.06.00.00_20170608.pro.fw.sig
8/26/2017,32:38.7,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/f83d6951-dfd9-4ce2-a8d7-93659e359eef/wm620_0900_v01.06.00.00_20170608.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223238Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=b0c166e55d2f4d22a18c46cae63b354d0c12d815bbc56352291464cd05605d43
8/26/2017,32:38.8,start download completed wm620_0900_v01.06.00.00_20170608.pro.fw.sig
8/26/2017,32:38.8,start download wm620_0305_v34.10.00.21_20160621.pro.fw.sig
8/26/2017,32:39.1,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/7842623d-9bc8-4315-b0fd-bef957da7bde/7263a553135df3208d73340466580433.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223239Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=c980f1e16d08cdcd9fa626876d06152615e5bec31db699ac4975c93a6de0d52a
8/26/2017,32:39.2,start download completed wm620_0305_v34.10.00.21_20160621.pro.fw.sig
8/26/2017,32:39.2,start download wm620_0306_v03.02.35.05_20170525.pro.fw.sig
8/26/2017,32:39.6,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/e07022e9-484a-4bda-a522-82d66c3b1d2e/wm620_0306_v03.02.35.05_20170525.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223239Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=4bd49a8029a9673198794afb6b952622c98e7c8ded958fb077e9f709c0ea6a9d
8/26/2017,32:40.1,start download completed wm620_0306_v03.02.35.05_20170525.pro.fw.sig
8/26/2017,32:40.1,start download wm620_0905_v01.00.01.04_20170527.pro.fw.sig
8/26/2017,32:40.5,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/0c8d5f2e-4f2a-4ba7-bd60-01df9da7b886/wm620_0905_v01.00.01.04_20170527.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223240Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=c69f7b52737e91342e0d123b801e164625e310f5dee11435b210aca7e5e64427
8/26/2017,32:41.0,start download completed wm620_0905_v01.00.01.04_20170527.pro.fw.sig
8/26/2017,32:41.0,start download wm620_1200_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:41.4,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/47641c69-c28e-44da-ac84-905407385aea/73fd6499a7e9f3e46d500ccd4a1a8264.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223241Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=19f11b7b50b7613036bfb1928d556f4c954702d9771e9eb15f3308dc8b8e04d2
8/26/2017,32:41.4,start download completed wm620_1200_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:41.4,start download wm620_1201_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:41.8,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/aa58ac8f-df45-42cd-92a8-aa0c5a31d2fc/0fbce076080edb5c669d1edbc46f49b7.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223241Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=3e03cc491e5c1877367139f00005d11b9d47c5008e6feb64fb369cab305e2560
8/26/2017,32:41.9,start download completed wm620_1201_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:41.9,start download wm620_1202_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:42.2,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/fecae501-10bb-470f-8e36-88fb20ba7bff/89ea36d1c31943de34b027bfacc82e1b.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223242Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=2b6628e7257a1a96af9b379c3660784c345d537e1d9fef516b6577877c842b3c
8/26/2017,32:42.3,start download completed wm620_1202_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:42.3,start download wm620_1203_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:42.7,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/e68a3c87-3a8b-49fb-90d0-f5b6c80beb4b/e1d580d4577dadc2e268f49169bfd9f2.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223242Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=ae3cfa0a71f3b3809adb8babaa15c13170bf0af4c0e20086618429da501a644b
8/26/2017,32:42.8,start download completed wm620_1203_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,32:42.8,start download wm620_0400_v01.00.00.32_20170329_gb02.pro.fw.sig
8/26/2017,32:43.1,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/4b407e45-1683-4ee8-b97c-b0ae5ff8b36f/wm620_0400_v01.00.00.32_20170329_gb02.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223243Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=1afd9e13f4c87f91e39b048fe49e7ba75239e609491763d57479f084456b5d5e
8/26/2017,32:43.3,start download completed wm620_0400_v01.00.00.32_20170329_gb02.pro.fw.sig
8/26/2017,32:43.3,start download wm620_0400_v01.00.00.77_20170410_gb01.pro.fw.sig
8/26/2017,32:43.6,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/d0c821b4-f18e-4a8e-982b-eeaf0d110a47/wm620_0400_v01.00.00.77_20170410_gb01.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223243Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=7cd8c4c1dbd6e51f6b56dd0ac1ef0d0061792ac5df5a55b50fd2b6a53791d495
8/26/2017,32:43.8,start download completed wm620_0400_v01.00.00.77_20170410_gb01.pro.fw.sig
8/26/2017,32:43.8,start download wm620_0401_v01.06.19.17_20170510.pro.fw.sig
8/26/2017,32:44.1,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/29598db6-8dfb-40ed-8743-cd5a0f0a8b36/wm620_0401_v01.06.19.17_20170510.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223244Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=693f310f6b731a7f0a0fcc4cdef883144dde592c9b13f2e14cfb40d3d754a00c
8/26/2017,32:44.2,start download completed wm620_0401_v01.06.19.17_20170510.pro.fw.sig
8/26/2017,32:44.2,start download wm620_0404_v00.00.00.27_20170126.pro.fw.sig
8/26/2017,32:44.5,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/54cfe8da-067a-4bbc-964d-482e069e5b50/wm620_0404_v00.00.00.27_20170126.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223244Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=288e265dcdc79d120edd352010330ed2b9e08bc9c9322e7b7cbdb9257538a61b
8/26/2017,32:44.6,start download completed wm620_0404_v00.00.00.27_20170126.pro.fw.sig
8/26/2017,32:44.6,start download wm620_0500_v01.00.01.15_20170426.pro.fw.sig
8/26/2017,32:45.0,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/85972484-89c1-465d-8ee4-b120df491c27/wm620_0500_v01.00.01.15_20170426.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223244Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=3aeed72b4973231f2dfc6a78acbcc983efdc4ff850dbd3f11d592ac4f75910e5
8/26/2017,32:45.1,start download completed wm620_0500_v01.00.01.15_20170426.pro.fw.sig
8/26/2017,32:45.1,start download wm620_0501_v00.01.00.09_20160805.pro.fw.sig
8/26/2017,32:45.5,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/698591df-a6cc-4ba3-bbc9-5c442a2343e8/1a7545bc076aab58897a3b7bc9b69bf9.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T223245Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=01dc661009f4aa48f29c5e568c3362cb5321f493b184fb1d93278a1c9c5b313f
8/26/2017,32:45.5,start download completed wm620_0501_v00.01.00.09_20160805.pro.fw.sig
8/26/2017,32:45.5,start download wm620_1101_v01.00.00.41_20170415.pro.fw.sig
