date,time,message_type,message
2017-08-29,13:53:27,Tips,Taking Off
2017-08-29,13:53:29,Tips,Taking Off
2017-08-29,13:53:30,,Home Point Recorded. RTH Altitude:  30m.
2017-08-29,13:53:34,,Landing gear lowered.Obstacle Avoidance Disabled.
2017-08-29,13:56:54,Tips,Aircraft close to Home Point. \go home\ shifts to \landing\.
2017-08-29,13:56:54,,Obstacle Avoidance will be disabled in landing.
2017-08-29,13:56:55,,Landing gear lowered.Obstacle Avoidance Disabled.
2017-08-29,13:57:04,,Landing Protection Activated. Aircraft will decelerate during landing.
2017-08-29,13:57:09,Tips,Landing Canceled
2017-08-29,13:57:17,Tips,Aircraft close to Home Point. \go home\ shifts to \landing\.
2017-08-29,13:57:17,,Obstacle Avoidance will be disabled in landing.
2017-08-29,13:57:17,,Landing Protection Activated. Aircraft will decelerate during landing.
2017-08-29,13:57:18,,Landing gear lowered.Obstacle Avoidance Disabled.
2017-08-29,13:57:44,,Obstacle Avoidance will be disabled in landing.
2017-08-29,13:57:44,Tips,Landing
2017-08-29,13:57:44,,Landing Protection Activated. Aircraft will decelerate during landing.
2017-08-29,13:57:45,,Landing gear lowered.Obstacle Avoidance Disabled.
2017-08-29,13:57:50,,Ground Plain. Safe to Land.
