No,CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.cellVoltage5 [V], BATTERY.cellVoltage6 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
1,6/20/2018,11:02.6,0m 0.5s,0.5,39.96119261,-106.2164524,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.5,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.604,TRUE,,,,,,,,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,Data Recorder File Index is 30.,,
2,6/20/2018,11:02.7,0m 0.6s,0.6,39.96119258,-106.2164524,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.5,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.604,TRUE,,,,,,,,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
3,6/20/2018,11:02.8,0m 0.7s,0.7,39.96119255,-106.2164525,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.5,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.604,TRUE,,,,,,,,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
4,6/20/2018,11:02.9,0m 0.8s,0.8,39.96119252,-106.2164525,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.5,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.604,TRUE,,,,,,,,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
5,6/20/2018,11:03.0,0m 0.9s,0.9,39.9611925,-106.2164525,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.6,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.619,FALSE,3.94,3.938,3.942,3.924,3.938,3.937,0.018,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
6,6/20/2018,11:03.1,0m 1.0s,1,39.96119247,-106.2164525,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.6,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.619,FALSE,3.94,3.938,3.942,3.924,3.938,3.937,0.018,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
7,6/20/2018,11:03.2,0m 1.1s,1.1,39.96119244,-106.2164525,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.6,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.619,FALSE,3.94,3.938,3.942,3.924,3.938,3.937,0.018,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
8,6/20/2018,11:03.3,0m 1.2s,1.2,39.96119241,-106.2164526,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.6,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.619,FALSE,3.94,3.938,3.942,3.924,3.938,3.937,0.018,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.6,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
9,6/20/2018,11:03.5,0m 1.3s,1.3,39.96119239,-106.2164526,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.6,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.619,FALSE,3.94,3.938,3.942,3.924,3.938,3.937,0.018,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.7,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
10,6/20/2018,11:03.6,0m 1.4s,1.4,39.96119239,-106.2164526,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.6,-6.6,-134.7,225.3,Starting Motors,Auto Fly,Takeoff (App Auto),20,5,TRUE,,Inspire 2,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-135.2,224.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,57,,,,23.619,FALSE,3.94,3.938,3.942,3.924,3.938,3.937,0.018,FALSE,FALSE,,,,,0,0,0,0,0,0,1677.94,,Idle,0,15,FALSE,7,TRUE,,Go Home,39.96120061,-106.2164451,3.7,8169.7,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,Course Lock,98.4,,23,Calm,30,Android, 4.2.16,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,232.2,8105.6,210,63.7,11.4,0,232,DF027,095XE1600202GT,09CLDC9005006P,09KL3A0J6C,09UADBH03101G8,,Android, 4.2.16,,,,,,
