drone_model,dataset,controller,source_file,date,time,message
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:02.6,Data Recorder File Index is 30.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:04.7,Home Point Updated.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:05.4,Obstacle Avoidance disabled. Landing gear lowered. Obstacle Avoidance has been disabled.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:06.8,Landing Gear RaisingÃ¢â‚¬Â¦.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:12.9,Landing Gear Raised.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:54.8,Gimbal Pitch Limit Reached.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:57.8,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:57.9,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:58.0,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:58.1,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,11:58.2,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:02.4,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:02.5,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:02.6,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:02.6,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:02.8,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:04.3,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:04.4,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:04.5,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:04.6,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:04.7,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:06.4,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:06.5,GPS Position Mismatch.
DJI_Inspire_2,df027,mobile_android_logical,DJIFlightRecord_2018-06-20_[09-11-02].csv,6/20/2018,12:06.5,GPS Position Mismatch.
