drone_model,dataset,controller,source_file,date,time,message
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:11:45.34 PM,Data Recorder File Index is 65.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:11:46.36 PM,Taking off.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:11:46.57 PM,RTH Altitude: 65FT.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:11:48.41 PM,Home Point Updated.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:19.20 PM,"""Cannot switch flight mode. Turn on """"Multiple Flight Modes"""" to enable Atti and Sport Modes."""
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:20.52 PM,"""Cannot switch flight mode. Turn on """"Multiple Flight Modes"""" to enable Atti and Sport Modes."""
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:35.85 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:35.95 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:36.05 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:36.16 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:42.96 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.06 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.16 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.27 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.37 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.58 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.68 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.78 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.88 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:43.98 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:12:49.77 PM,Large Wind Velocity.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:01.85 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:01.95 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:02.05 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:02.15 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:02.25 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:03.47 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:03.57 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:03.67 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:03.78 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:03.88 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:08.85 PM,Large Wind Velocity.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:16.77 PM,Large Wind Velocity.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:30.46 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:30.56 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:30.66 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:30.76 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:54.50 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:54.60 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:54.70 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:54.80 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:13:54.90 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.23 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.33 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.43 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.53 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.63 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.73 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.83 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:04.94 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:05.04 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:12.43 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:12.54 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:12.64 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:12.74 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:12.84 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:18.61 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:18.71 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:18.92 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:19.83 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:19.93 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:20.03 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:20.13 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:20.23 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:30.26 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:30.36 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:30.47 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:30.57 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:30.67 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:35.42 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:35.52 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:35.63 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:35.73 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:35.83 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:37.96 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:38.06 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:38.16 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:38.26 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:38.36 PM,GPS Position Mismatch.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:14:57.73 PM,Large Wind Velocity.
DJI_Matrice_600,df034,mobile_android_logical,DJIFlightRecord_2018-06-20_[10-11-44].csv,6/20/2018,4:16:45.35 PM,Landing.
