date,time,message
2018-06-20,11:32:46.948,remove need upgrade groups
2018-06-20,11:32:47.395,remove need upgrade groups
2018-06-20,11:36:02.799,remove need upgrade groups
2018-06-20,11:36:02.801,DisconnectedWithAircraft
2018-06-20,11:36:18.991,upgrade state 1
2018-06-20,11:59:27.157,ConnectedToAircraft
2018-06-20,11:59:57.177,remove need upgrade groups
2018-06-20,11:59:57.178,DisconnectedWithAircraft
2018-06-20,12:00:00.234,upgrade state 1
2018-06-20,12:00:07.120,ConnectedToAircraft
2018-06-20,12:05:17.771,remove need upgrade groups
2018-06-20,12:05:17.772,DisconnectedWithAircraft
2018-06-20,12:18:06.319,remove need upgrade groups
2018-06-20,12:18:06.320,DisconnectedWithAircraft
