date,time,message
2018-09-25,14:25:16.597,set upgrader to nil because need upgrade group count is 0.
2018-09-25,14:25:17.362,no roll back list info
2018-09-25,14:25:17.381,check upgrade for 0801
2018-09-25,14:25:17.383,no device info
2018-09-25,14:25:19.169,set upgrader to nil because need upgrade group count is 0.
2018-09-25,14:25:23.416,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:51:48.177,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:51:58.412,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:51:58.460,check upgrade for 1301
2018-09-26,11:51:58.464,no device info
2018-09-26,11:51:58.464,check upgrade for 0801
2018-09-26,11:51:58.464,no device info
2018-09-26,11:51:58.464,check upgrade for 1301
2018-09-26,11:51:58.464,no device info
2018-09-26,11:51:58.465,check upgrade for 0801
2018-09-26,11:51:58.465,no device info
2018-09-26,11:51:58.491,check upgrade for 1301
2018-09-26,11:51:58.492,can not get server version info
2018-09-26,11:52:04.501,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:52:20.634,fetching version for wm240
2018-09-26,11:52:20.635,fetching version list using url :https://mydjiflight.dji.com/getfile/getallfile
2018-09-26,11:52:21.930,"get version list result, errorCode:0, desc: (null), with URL: https://mydjiflight.dji.com/getfile/getallfile, data: [{""product_version"":""01.00.0000"",""flow"":""formal"",""released_time"":""2018-08-23"",""release_note"":{""en"":""What’s New?\r\n•\tImproved firmware data safety. \r\n•\tAdded Hyperlapse mode, including four sub-modes: Free, Circle, Course Lock, and Waypoints. \r\n•\tAdded Dolly Zoom sub-mode for QuickShots (Mavic 2 Zoom only). \r\n•\tAdded Enhanced HDR and HyperLight shooting modes. \r\n•\tAdded Super Resolution sub-mode for Panorama. \r\n•\tAdded 2x digital zoom (Mavic 2 Zoom only. Available when recording video in 1080p 24/25/30 fps). \r\n•\tAdded Emergency RTH and Emergency Landing for Low Battery RTH.\r\n•\tAdjusted the low battery warning level to 25%. \r\n•\tImproved stability for POI by optimizing the way the location of the subject is measured (Mavic 2 Zoom only). \r\n•\tFixed the occasional issue in Panorama where the camera was unable to take a photo and improved the overall photo quality in Panorama.\r\n•\tFixed the issue where the aircraft would move unexpectedly due to compass interference. \r\n•\tFixed the occasional issue where the gimbal would not recenter after exiting QuickShots.\r\n•\tFixed the AE flicker issue (Mavic 2 Pro only) and green point issue (Mavic 2 Zoom only). Improved the overall photo quality of both Mavic 2 Pro/Zoom.\r\n•\tOptimized the performance of the Vision Systems. \r\n•\tAdded 2 m minimum flight altitude to ActiveTrack 2.0. \r\n•\tFixed the occasional issue in QuickShots where the camera was unable to record a video and improved the overall video quality in QuickShots.\r\nNotes:\r\nPlease note that there is no minimum flight altitude when the speed is fixed in the Free sub-mode of Hyperlapse. Be sure to fly with caution.""}}"
2018-09-26,11:52:21.945,"fetching cfg version:01.00.0000,product name:wm240, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:52:23.335,fetching version for rc240
2018-09-26,11:52:23.335,fetching version list using url :https://mydjiflight.dji.com/getfile/getallfile
2018-09-26,11:52:25.556,"get version list result, errorCode:0, desc: (null), with URL: https://mydjiflight.dji.com/getfile/getallfile, data: [{""product_version"":""01.00.0000"",""flow"":""formal"",""released_time"":""2018-08-23"",""release_note"":{""en"":""""}}"
2018-09-26,11:52:25.569,"fetching cfg version:01.00.0000,product name:rc240, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:52:26.726,fetching version for wm240
2018-09-26,11:52:26.727,fetching version list using url :https://mydjiflight.dji.com/getfile/getallfile
