sep=,
CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.cellVoltage5 [V], BATTERY.cellVoltage6 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
10/10/2017,4:02:23.82 PM,0m 0.9s,0.9,39.96126301,-106.21631337,0,0,,8128,0,0,0,0,0,0,0,0,0.4,-1.4,101.5,101.5,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.6,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,Data Recorder File Index is 46.,,
10/10/2017,4:02:23.92 PM,0m 1.0s,1.0,39.96126302,-106.21631333,0,0,,8128,0,0,0,0,0,0,0,0,0.8,-1.4,101.4,101.4,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.03 PM,0m 1.1s,1.1,39.96126302,-106.21631332,0,0,,8128,0,0,0,0,0,0,0,0,0.8,-1.4,102.3,102.3,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.13 PM,0m 1.2s,1.2,39.961263,-106.21631331,0,0,,8128,0,0,0,0,0,0,0,0,0.8,-1.3,100.9,100.9,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.23 PM,0m 1.3s,1.3,39.96126296,-106.21631331,0,0,,8128,0,0,0,0,0,0,0,0,0.6,-1.4,102,102,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.33 PM,0m 1.4s,1.4,39.96126292,-106.2163133,0,0,,8128,0,0,0,0,0,0,0,0,0.7,-1.4,102.2,102.2,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.43 PM,0m 1.5s,1.5,39.96126286,-106.21631327,0,0,,8128,0,0,0,0,0,0,0,0,0.5,-1.4,101.6,101.6,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.54 PM,0m 1.6s,1.6,39.96126282,-106.21631322,0,0,,8128,0,0,0,0,0,0,0,0,0.5,-1.4,101.4,101.4,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.64 PM,0m 1.7s,1.7,39.9612628,-106.21631321,0,0,,8128,0,0,0.2,0.2,0,0,0,0,0.6,-1.5,101.9,101.9,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
10/10/2017,4:02:24.74 PM,0m 1.8s,1.8,39.96126281,-106.21631321,0,0,,8128,0,0,0,0.2,-0.2,0,0,0,0.7,-1.5,101.7,101.7,Starting Motors,Auto Fly,Takeoff (App Auto),15,5,True,,M600,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,True,False,False,False,False,False,0,Follow Yaw,0,0,100.8,100.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,76,,,,48.714,True,,,,,,,,False,False,,,,,0,0,0,0,0,0.0,797.98,,Idle,0,30,False,10,True,,Go Home,39.96124761,-106.21630127,6.5,8106.7,393.7,True,1,1,False,False,False,False,0,True,False,False,Course Lock,65.6,177.6,9.8,Calm,46,Android, 3.1.11,dji aircraft,0670136230,,03LLCA0B4B,M61AE76011,337.066,8893.0,115.8,42.7,7.4,0,0,dji aircraft,0670136230,,03LLCA0B4B,M61AE7601101J0,,Android, 3.1.11,,,,,,
