#,CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
1,6/19/2018,50:35.2,0m 0.2s,0.2,39.96119772,-106.2164677,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.7,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,Data Recorder File Index is 57.,,
2,6/19/2018,50:35.3,0m 0.3s,0.3,39.96119757,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.8,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
3,6/19/2018,50:35.3,0m 0.4s,0.4,39.96119755,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.8,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
4,6/19/2018,50:35.3,0m 0.5s,0.5,39.96119774,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.3,0.7,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
5,6/19/2018,50:35.4,0m 0.6s,0.6,39.96119774,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.7,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
6,6/19/2018,50:35.5,0m 0.7s,0.7,39.96119774,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.7,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
7,6/19/2018,50:35.6,0m 0.8s,0.8,39.96119774,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.7,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
8,6/19/2018,50:35.7,0m 0.9s,0.9,39.96119774,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.7,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
9,6/19/2018,50:35.8,0m 1.0s,1,39.96119774,-106.2164676,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.2,0.8,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.1,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
10,6/19/2018,50:35.9,0m 1.1s,1.1,39.96119774,-106.2164678,0,0,0.3,8128,0,0,0,0,0,0,0,0,9.1,0.8,66.2,66.2,Starting Motors,Other (34),Takeoff (App Auto),15,5,TRUE,,Mavic Air,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,66,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,95,,,,12.697,FALSE,4.229,4.233,4.235,0.006,FALSE,FALSE,,,,,0,1,0,15,10,4165.8,1068.16,,Idle,0,30,FALSE,10,TRUE,,Go Home,39.96120051,-106.2164571,3.2,7877.7,164,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,115.6,16.4,Calm,57,Android, 4.2.16,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,305.3,1458.9,93.5,6.5,4.7,0,300,dronefo...-Mavic Air,0K1DF313BD4PR1,,,0K4AEBQA3400DT,,Android, 4.2.16,,,,,,
