drone_model,dataset,controller,source_file,date,time,message
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,30:44.9,Data Recorder File Index is 7.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,30:59.6,Home Point Updated.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,30:59.6,Home Point recorded. Return-to-Home Altitude:98FT.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:53.9,Downlink Restored (after 0m 1s).
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:54.0,Downlink Restored (after 0m 2.3s).
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:57.2,Downlink Restored (after 0m 1.1s).
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:59.9,Downlink Restored (after 0m 1.7s).
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,39:09.3,Downlink Restored (after 0m 2.9s).
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,39:09.2,Downlink Restored (after 0m 1s).
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,39:13.3,Downlink Restored (after 0m 1s).
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:53.2,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:53.3,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:57.0,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:57.1,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,32:59.8,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,39:09.0,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,39:09.1,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,39:13.2,Downlink Lost.
DJI_Mavic_2,df069,mobile_android,DJIFlightRecord_2018-09-26_[13-30-44].csv,9/26/2018,39:43.3,Strong Remote Controller Interference.
