date,time,message
2018-04-19,11:24:46.601,check upgrade for 0801
2018-04-19,11:24:46.602,no device info
2018-04-19,11:24:46.616,check upgrade for 0801
2018-04-19,11:24:46.617,no device info
2018-04-19,11:24:46.829,check upgrade for 1301
2018-04-19,11:24:46.830,can not get server version info
2018-04-19,11:24:49.497,check upgrade for 0801
2018-04-19,11:24:49.497,no device info
2018-04-19,11:24:50.735,check upgrade for 0801
2018-04-19,11:24:50.736,can not get server version info
2018-04-19,11:24:51.305,check upgrade for 1301
2018-04-19,11:24:51.306,can not get server version info
2018-04-19,11:24:51.578,check upgrade for 0801
2018-04-19,11:24:51.579,can not get server version info
