date,time,message
2018-04-19,11:52:06.064,check upgrade for 0801
2018-04-19,11:52:06.064,no device info
2018-04-19,11:52:07.762,check upgrade for 0801
2018-04-19,11:52:07.762,no device info
2018-04-19,11:54:52.705,check upgrade for 0801
2018-04-19,11:54:52.706,no device info
2018-04-19,11:54:53.788,check upgrade for 0801
2018-04-19,11:54:53.788,no device info
2018-04-19,11:54:58.203,check upgrade for 1301
2018-04-19,11:54:58.207,can not get server version info
2018-04-19,11:56:15.332,check upgrade for 0801
2018-04-19,11:56:15.332,no device info
2018-04-19,11:56:16.406,check upgrade for 0801
2018-04-19,11:56:16.406,no device info
