sep=,
CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
8/29/2017,6:05:28.71 PM,5m 57.9s,357.9,39.9611999,-106.21639928,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.1,1.3,54,54,Starting Motors,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,2954.496,59136,14079,,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
8/29/2017,6:05:28.81 PM,5m 58.1s,358.1,39.96119993,-106.21639928,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.1,1.3,54,54,Starting Motors,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,2954.496,59136,14079,,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
8/29/2017,6:05:28.92 PM,5m 58.2s,358.2,39.96119991,-106.21639928,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.1,1.3,54,54,Starting Motors,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,2954.496,59136,14079,,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
8/29/2017,6:05:29.02 PM,5m 58.3s,358.3,39.9611999,-106.21639928,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.1,1.3,54,54,Starting Motors,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,48,2954.496,59136,14079,11.556,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,0,0,0,15,10,2936.7,1388.82,,Idle,0,30,False,10,True,,Go Home,39.96120824,-106.21638974,4.0,8068.2,164.0,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,7,Android, 4.1.5,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,Data Recorder File Index is 7.,,
8/29/2017,6:05:29.13 PM,5m 58.4s,358.4,39.96119989,-106.21639928,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.1,1.3,54,54,Auto Takeoff,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,48,2954.496,59136,14079,11.556,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,0,0,0,15,10,2936.7,1388.82,,Idle,0,30,False,10,True,,Go Home,39.96120824,-106.21638974,4.0,8068.2,164.0,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,7,Android, 4.1.5,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,Taking off.,
8/29/2017,6:05:29.34 PM,5m 58.5s,358.5,39.96119988,-106.21639928,0,0,0.3,8128,0,0,0,0,0,0,0,0,0.1,1.3,54,54,Auto Takeoff,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,48,2954.496,59136,14079,11.556,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,0,0,0,15,10,2936.7,1388.82,,Idle,0,30,False,10,True,,Go Home,39.96120824,-106.21638974,4.1,8068.2,164.0,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,7,Android, 4.1.5,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
8/29/2017,6:05:29.44 PM,5m 58.6s,358.6,39.96119987,-106.21639929,0,0,0.3,8128,0,0,0,0,0,0,0,0,0,1.3,54,54,Auto Takeoff,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,48,2954.496,59136,14079,11.556,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,0,0,0,15,10,2936.7,1388.82,,Idle,0,30,False,10,True,,Go Home,39.96120824,-106.21638974,4.1,8068.2,164.0,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,7,Android, 4.1.5,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
8/29/2017,6:05:29.54 PM,5m 58.7s,358.7,39.96119987,-106.21639929,0,0,0.3,8128,0,0,0,0,0,0,0,0,0,1.2,54,54,Auto Takeoff,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,48,2954.496,59136,14079,11.556,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,0,0,0,15,10,2936.7,1388.82,,Idle,0,30,False,10,True,,Go Home,39.96120824,-106.21638974,4.1,8068.2,164.0,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,7,Android, 4.1.5,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
8/29/2017,6:05:29.64 PM,5m 58.8s,358.8,39.96119987,-106.21639929,0,0,0.3,8128,0,0,0,0,0,0,0,0,0,1.2,54,54,Auto Takeoff,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,48,2954.496,59136,14079,11.556,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,0,0,0,15,10,2936.7,1388.82,,Idle,0,30,False,10,True,,Go Home,39.96120824,-106.21638974,4.1,8068.2,164.0,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,7,Android, 4.1.5,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
8/29/2017,6:05:29.75 PM,5m 58.9s,358.9,39.96119987,-106.21639929,0,0,0.7,8128,0,0,0,0,0,0,0,0,-0.2,1.3,54,54,Auto Takeoff,Other (34),Takeoff (App Auto),17,5,True,,Mavic Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,54.1,54.1,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,48,2954.496,59136,14079,11.556,False,3.854,3.842,3.856,0.014,False,False,380.928,,10031.4,,0,0,0,15,10,2936.7,1388.82,,Idle,0,30,False,10,True,,Go Home,39.96120824,-106.21638974,4.1,8068.2,164.0,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,7,Android, 4.1.5,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,369.114,264.9,97.8,10.1,2.2,0,179,DF019,08RDD9100100KG,08TLDAQ00U034Q,,093AE5F032041B,,Android, 4.1.5,,,,,,
