date,time,message_type,message
2017-08-29,11:56:11,Tips,Taking Off
2017-08-29,11:56:12,Tips,Taking Off
2017-08-29,11:56:13,,Home Point Recorded. RTH Altitude:  30m.
2017-08-29,11:56:13,,Tap the screen lightly to focus.
2017-08-29,11:56:45,Cannot enter TapFly Mode.,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-08-29,11:57:29,Cannot enter TapFly Mode.,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-08-29,11:58:00,Cannot enter TapFly Mode.,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-08-29,11:59:07,Warning,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-08-29,11:59:20,Tips,Landing
2017-08-29,11:59:20,,Obstacle Avoidance will be disabled in landing.
2017-08-29,11:59:34,Tips,Landing Canceled
2017-08-29,11:59:35,Warning,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-08-29,12:02:05,,Obstacle Avoidance will be disabled in landing.
