date,time,message_type,message
2017-08-29,11:49:33,Tips,Taking Off
2017-08-29,11:49:34,Tips,Taking Off
2017-08-29,11:49:35,,Home Point Recorded. RTH Altitude:  30m.
2017-08-29,11:49:52,Tips,Landing
2017-08-29,11:49:52,,Obstacle Avoidance will be disabled in landing.
2017-08-29,11:50:08,,Ground Plain. Safe to Land.
2017-08-29,11:50:40,Tips,Taking Off
2017-08-29,11:50:41,Tips,Taking Off
2017-08-29,11:50:43,,Home Point Recorded. RTH Altitude:  30m.
2017-08-29,11:53:00,Tips,Aircraft is returning to the Home Point. Minimum RTH Altitude is 98ft. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.
2017-08-29,11:53:27,,Obstacle Avoidance will be disabled in landing.
2017-08-29,11:53:56,Precision Landing,Locating Landing Point
2017-08-29,11:54:08,Tips,Landing Canceled
2017-08-29,11:54:26,TapFly Flight Ended,Forward Obstacle Sensing not Responding
2017-08-29,11:54:50,,Obstacle Avoidance will be disabled in landing.
