sep=,
CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
8/29/2017,6:31:05.48 PM,7m 32.5s,452.5,39.96120396,-106.21638924,0,0,0.7,8128,0,0,0,0,0,0,0,0,5.6,-2,-93.9,266.1,Starting Motors,Other (34),Takeoff (App Auto),15,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,3030.016,14592,22271,,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,RTH: Cruise.,,
8/29/2017,6:31:05.59 PM,7m 32.8s,452.8,39.96120392,-106.21638917,0,0,0.7,8128,0,0,0,0,0,0,0,0,5.5,-2,-93.9,266.1,Starting Motors,Other (34),Takeoff (App Auto),15,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,3030.016,14592,22271,,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,,
8/29/2017,6:31:05.69 PM,7m 32.9s,452.9,39.96120391,-106.21638915,0,0,0.7,8128,0,0,0,0,0,0,0,0,5.5,-2,-93.9,266.1,Starting Motors,Other (34),Takeoff (App Auto),15,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,3030.016,14592,22271,,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,,
8/29/2017,6:31:05.79 PM,7m 33.0s,453.0,39.96120391,-106.2163891,0,0,0.7,8128,0,0,0,0,0,0,0,0,5.6,-2,-93.9,266.1,Starting Motors,Other (34),Takeoff (App Auto),15,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,3030.016,14592,22271,,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,,
8/29/2017,6:31:05.90 PM,7m 33.2s,453.2,39.9612039,-106.21638907,0,0,0.3,8128,0,0,0,0,0,0,0,0,5.6,-2,-93.9,266.1,Auto Takeoff,Other (34),Takeoff (App Auto),16,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,3030.016,14592,22271,,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,Taking off.,Strong Interference Now. Fly with caution.
8/29/2017,6:31:06.00 PM,7m 33.3s,453.3,39.96120389,-106.21638906,0,0,0.3,8128,0,0,0,0,0,0,0,0,5.6,-2,-93.9,266.1,Auto Takeoff,Other (34),Takeoff (App Auto),16,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,3,2979.584,14592,22271,,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,, ,,,,,,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,,
8/29/2017,6:31:06.12 PM,7m 33.4s,453.4,39.96120389,-106.21638905,0,0,0.7,8128,0,0,0,0,0,0,0,0,5.5,-2,-93.9,266.1,Auto Takeoff,Other (34),Takeoff (App Auto),16,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,64,2979.584,14592,22271,11.828,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,0,0,0,15,10,3533.4,1322.17,,Idle,0,30,False,10,True,,Go Home,39.96120411,-106.21638373,1.5,8111.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,3,Android, 4.1.3,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,Data Recorder File Index is 3.,,
8/29/2017,6:31:06.26 PM,7m 33.5s,453.5,39.96120389,-106.21638905,0,0,0.7,8128,0,0,0,0,0,0,0,0,5.2,-1.9,-93.8,266.2,Auto Takeoff,Other (34),Takeoff (App Auto),16,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,64,2979.584,14592,22271,11.828,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,0,0,0,15,10,3533.4,1322.17,,Idle,0,30,False,10,True,,Go Home,39.96120411,-106.21638373,1.5,8111.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,3,Android, 4.1.3,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,,
8/29/2017,6:31:06.37 PM,7m 33.7s,453.7,39.96120382,-106.21638899,0,0,0.7,8128,0,0,0,0,0,0,0,0,4.1,-1.8,-93.8,266.2,Auto Takeoff,Other (34),Takeoff (App Auto),16,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,64,2979.584,14592,22271,11.828,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,0,0,0,15,10,3533.4,1322.17,,Idle,0,30,False,10,True,,Go Home,39.96120411,-106.21638373,1.5,8111.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,3,Android, 4.1.3,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,,
8/29/2017,6:31:06.47 PM,7m 33.8s,453.8,39.96120383,-106.21638896,0,0,0.7,8128,0,0,0,0,0,0,0,0,1.6,-1.8,-93.6,266.4,Auto Takeoff,Other (34),Takeoff (App Auto),16,5,True,,Mavic Pro,True,False,Cruise,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-93.3,266.7,False,False,False,False,False,True,,False,Normal,,,1024,1024,1024,1024,0,False,False,False,False,False,0,False,False,False,False,64,2979.584,14592,22271,11.828,False,3.952,3.961,3.956,0.009,False,False,339.968,170.2,170.2,170.2,0,0,0,15,10,3533.4,1322.17,,Idle,0,30,False,10,True,,Go Home,39.96120411,-106.21638373,1.5,8111.7,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,,16.4,Calm,3,Android, 4.1.3,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,451.838,3947.4,97.4,23.5,7.2,0,0,DF020,08RDE5F001007H,08TLE4700X0040,,093AE5J0320485,,Android, 4.1.3,,,,,,
