date,time,message
2017-08-26,12:13:09.674,set progress handler: <__NSMallocBlock__: 0x171847e60>
2017-08-26,12:13:09.676,try time: 2
2017-08-26,12:13:09.676,"request (8, 1) enter upgrade"
2017-08-26,12:13:10.051,firmware pack lenght: 1461450
2017-08-26,12:13:10.147,"get ftp info, ip 192.168.2.1"
2017-08-26,12:13:10.151,start transfrer to 192.168.2.1:21
2017-08-26,12:13:10.191,send 8192 / 1461450
2017-08-26,12:13:10.200,send 16384 / 1461450
2017-08-26,12:13:10.208,send 24576 / 1461450
2017-08-26,12:13:10.209,send 32768 / 1461450
2017-08-26,12:13:10.209,send 40960 / 1461450
2017-08-26,12:13:10.210,send 49152 / 1461450
2017-08-26,12:13:10.212,send 57344 / 1461450
2017-08-26,12:13:10.212,send 65536 / 1461450
2017-08-26,12:13:10.213,send 73728 / 1461450
2017-08-26,12:13:10.214,send 81920 / 1461450
2017-08-26,12:13:10.218,send 90112 / 1461450
2017-08-26,12:13:10.220,send 98304 / 1461450
2017-08-26,12:13:10.220,send 106496 / 1461450
2017-08-26,12:13:10.221,send 114688 / 1461450
2017-08-26,12:13:10.224,send 122880 / 1461450
2017-08-26,12:13:10.228,send 131072 / 1461450
2017-08-26,12:13:10.234,send 139264 / 1461450
2017-08-26,12:13:10.239,send 147456 / 1461450
2017-08-26,12:13:10.240,send 155648 / 1461450
2017-08-26,12:13:10.241,send 163840 / 1461450
2017-08-26,12:13:10.241,send 172032 / 1461450
2017-08-26,12:13:10.273,send 180224 / 1461450
2017-08-26,12:13:10.278,send 188416 / 1461450
2017-08-26,12:13:10.289,send 196608 / 1461450
2017-08-26,12:13:10.290,send 204800 / 1461450
2017-08-26,12:13:10.292,send 212992 / 1461450
2017-08-26,12:13:10.293,send 221184 / 1461450
2017-08-26,12:13:10.296,send 229376 / 1461450
2017-08-26,12:13:10.298,send 237568 / 1461450
2017-08-26,12:13:10.299,send 245760 / 1461450
2017-08-26,12:13:10.299,send 253952 / 1461450
2017-08-26,12:13:10.300,send 262144 / 1461450
2017-08-26,12:13:10.311,send 270336 / 1461450
2017-08-26,12:13:10.313,send 278528 / 1461450
2017-08-26,12:13:10.314,send 286720 / 1461450
2017-08-26,12:13:10.315,send 294912 / 1461450
2017-08-26,12:13:10.317,send 303104 / 1461450
2017-08-26,12:13:10.318,send 311296 / 1461450
2017-08-26,12:13:10.318,send 319488 / 1461450
2017-08-26,12:13:10.332,send 327680 / 1461450
2017-08-26,12:13:10.334,send 335872 / 1461450
2017-08-26,12:13:10.334,send 344064 / 1461450
2017-08-26,12:13:10.335,send 352256 / 1461450
2017-08-26,12:13:10.337,send 360448 / 1461450
2017-08-26,12:13:10.337,send 368640 / 1461450
2017-08-26,12:13:10.338,send 376832 / 1461450
2017-08-26,12:13:10.338,send 385024 / 1461450
2017-08-26,12:13:10.340,send 393216 / 1461450
2017-08-26,12:13:10.340,send 401408 / 1461450
2017-08-26,12:13:10.341,send 409600 / 1461450
2017-08-26,12:13:10.341,send 417792 / 1461450
2017-08-26,12:13:10.343,send 425984 / 1461450
2017-08-26,12:13:10.344,send 434176 / 1461450
2017-08-26,12:13:10.347,send 442368 / 1461450
2017-08-26,12:13:10.349,send 450560 / 1461450
2017-08-26,12:13:10.350,send 458752 / 1461450
2017-08-26,12:13:10.351,send 466944 / 1461450
2017-08-26,12:13:10.351,send 475136 / 1461450
2017-08-26,12:13:10.353,send 483328 / 1461450
2017-08-26,12:13:10.354,send 491520 / 1461450
2017-08-26,12:13:10.354,send 499712 / 1461450
2017-08-26,12:13:10.357,send 507904 / 1461450
2017-08-26,12:13:10.359,send 516096 / 1461450
2017-08-26,12:13:10.360,send 524288 / 1461450
2017-08-26,12:13:10.361,send 532480 / 1461450
2017-08-26,12:13:10.361,send 540672 / 1461450
2017-08-26,12:13:10.364,send 548864 / 1461450
2017-08-26,12:13:10.364,send 557056 / 1461450
2017-08-26,12:13:10.365,send 565248 / 1461450
2017-08-26,12:13:10.367,send 573440 / 1461450
2017-08-26,12:13:10.368,send 581632 / 1461450
2017-08-26,12:13:10.370,send 589824 / 1461450
2017-08-26,12:13:10.381,send 598016 / 1461450
2017-08-26,12:13:10.384,send 606208 / 1461450
2017-08-26,12:13:10.385,send 614400 / 1461450
2017-08-26,12:13:10.403,send 622592 / 1461450
2017-08-26,12:13:10.404,send 630784 / 1461450
