#,CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
1,6/20/2018,04:20.9,0m 1.0s,1,39.9611884,-106.2164554,0,0,2,8128,0,0,0,0,0,0,0,0,3.8,-8.1,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,ESC part empty on ground,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111.1,248.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,Data Recorder File Index is 13.,,
2,6/20/2018,04:21.0,0m 1.1s,1.1,39.9611884,-106.2164554,0,0,2,8128,0,0,0,0,0,0,0,0,3.8,-8.1,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,ESC part empty on ground,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111.1,248.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
3,6/20/2018,04:21.1,0m 1.2s,1.2,39.9611884,-106.2164554,0,0,2,8128,0,0,0,0,0,0,0,0,3.8,-8.1,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111.1,248.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
4,6/20/2018,04:21.2,0m 1.3s,1.3,39.96118841,-106.2164554,0,0,2,8128,0,0,0,0,0,0,0,0,3.8,-8.3,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
5,6/20/2018,04:21.3,0m 1.4s,1.4,39.96118841,-106.2164554,0,0,2,8128,0,0,0,0,0,0,0.2,0.2,3.9,-8.3,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
6,6/20/2018,04:21.4,0m 1.5s,1.5,39.96118841,-106.2164554,0,0,2.3,8128,0,0,0,0,0,0,0.2,0.2,3.8,-8.3,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
7,6/20/2018,04:21.5,0m 1.6s,1.6,39.96118832,-106.2164553,-0.3,0,2.3,8128,0,0,0,0,0,0,0.2,0.2,3.9,-8.3,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1024,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
8,6/20/2018,04:21.6,0m 1.7s,1.7,39.96118832,-106.2164553,-0.3,0,2.3,8128,0,0,0,0,0,0,0.5,0.5,4,-8.5,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1198,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
9,6/20/2018,04:21.7,0m 1.8s,1.8,39.96118832,-106.2164552,-0.7,0,2.3,8127,1.1,1.1,0,0,0,0,0.5,0.5,4,-8.5,-111.3,248.7,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1455,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,,
10,6/20/2018,04:21.8,0m 1.9s,1.9,39.9611883,-106.2164553,-0.7,0,2.3,8127,0,1.1,0,0,0,0,0.5,0.5,3.9,-8.4,-111.2,248.8,P-GPS,Auto Fly,Takeoff (App Auto),11,5,TRUE,,Phantom 3 Standard,FALSE,FALSE,,Smart,RC,FALSE,TRUE,FALSE,,Other (151),TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-111,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Normal,,,1024,1024,1684,1024,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,66,15.853,2946,4464,16.07,FALSE,3.951,3.958,3.952,3.956,0.007,FALSE,FALSE,64.898,62.5,62.5,62.5,0,0,0,19,14,0,0,,Idle,0,30,FALSE,10,TRUE,4,Go Home,39.9611884,-106.2164555,0,8154,,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,,Calm,13,Android, 3.1.38,df001,03Z1389682,,,5064506834,228.296,5512.7,176.8,39.1,7.6,0,0,df001,03Z1389682,,,5064506834,,Android, 3.1.38,,,,,Taking off.,
