date,time,message
2018-06-19,12:58:18.725,remove need upgrade groups
2018-06-19,12:59:39.407,remove need upgrade groups
2018-06-19,12:59:39.410,DisconnectedWithAircraft
2018-06-19,12:59:45.510,upgrade state 1
2018-06-19,13:00:04.020,upgrade state 1
2018-06-19,13:00:06.136,ConnectedToAircraft
2018-06-19,13:05:27.759,remove need upgrade groups
2018-06-19,13:05:27.761,DisconnectedWithAircraft
2018-06-19,13:06:38.169,remove need upgrade groups
2018-06-19,13:06:38.172,DisconnectedWithAircraft
2018-06-19,13:06:48.357,ConnectedToAircraft
2018-06-19,13:09:18.505,remove need upgrade groups
2018-06-19,13:09:18.505,DisconnectedWithAircraft
2018-06-19,13:09:23.244,ConnectedToAircraft
2018-06-19,13:09:39.916,remove need upgrade groups
2018-06-19,13:09:39.916,DisconnectedWithAircraft
2018-06-19,13:09:47.211,ConnectedToAircraft
2018-06-19,13:13:08.705,remove need upgrade groups
2018-06-19,13:13:08.705,DisconnectedWithAircraft
2018-06-19,13:13:28.278,remove need upgrade groups
2018-06-19,13:13:28.279,DisconnectedWithAircraft
2018-06-19,13:14:13.606,ConnectedToAircraft
2018-06-19,13:23:17.635,remove need upgrade groups
2018-06-19,13:23:17.636,DisconnectedWithAircraft
