date,time,message_type,message
2018-06-19,13:16:58,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:00,Tips,Taking Off
2018-06-19,13:17:00,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:11,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:12,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:13,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:14,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:15,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:25,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:27,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:29,Warning,Compass Error. Exit P-GPS Mode
2018-06-19,13:17:29,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:31,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:34,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:43,Warning,Strong Interference Detected. Be careful when flying long distances.
2018-06-19,13:17:51,,Strong wireless interference. Please fly with caution.
2018-06-19,13:17:54,,Strong wireless interference. Please fly with caution.
2018-06-19,13:18:01,,Strong wireless interference. Please fly with caution.
2018-06-19,13:18:05,,Strong wireless interference. Please fly with caution.
2018-06-19,13:18:15,,Strong wireless interference. Please fly with caution.
2018-06-19,13:18:19,,Strong wireless interference. Please fly with caution.
