date,time,message_type,message
2017-06-29,10:13:32,Tips,Taking Off
2017-06-29,10:14:52,Warning,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-06-29,10:14:55,Warning,Aircraft out of Range
2017-06-29,10:15:09,Warning,Aircraft out of Range
2017-06-29,10:15:15,Warning,Aircraft out of Range
2017-06-29,10:15:18,Warning,Aircraft out of Range
2017-06-29,10:15:23,Warning,Aircraft out of Range
2017-06-29,10:15:23,Warning,Aircraft out of Range
2017-06-29,10:15:30,Warning,Aircraft out of Range
2017-06-29,10:15:31,Warning,Aircraft out of Range
2017-06-29,10:15:34,Warning,Aircraft out of Range
2017-06-29,10:15:34,Warning,Aircraft out of Range
2017-06-29,10:15:39,Warning,Cannot change current flight mode. Enable Multiple Flight Modes in Settings menu to change.
2017-06-29,10:16:00,Warning,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-06-29,10:16:55,Warning,Aircraft out of Range
2017-06-29,10:17:04,Warning,Aircraft out of Range
2017-06-29,10:17:28,Warning,Aircraft out of Range
2017-06-29,10:17:32,Warning,Aircraft out of Range
2017-06-29,10:17:43,Warning,Aircraft out of Range
2017-06-29,10:18:10,Warning,Max Flight Distance Reached. Adjust in Main Controller Settings if necessary.
2017-06-29,10:18:48,Warning,Cannot change current flight mode. Enable Multiple Flight Modes in Settings menu to change.
2017-06-29,10:21:04,Tips,Returning to the Home Point
2017-06-29,10:21:36,Tips,Returning to the Home Point
2017-06-29,10:22:16,Tips,Landing Canceled
