drone_model,dataset,controller,source_file,date,time,message
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:00:45,Taking Off
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:00:47,Taking Off
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:00:48,Home Point Recorded. RTH Altitude:  30m.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:01:00,Camera Settings Adjusted to ActiveTrack
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:03:25,Camera Settings Adjusted to ActiveTrack
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:03:25,Drag a box around or tap a target on screen. Then tap Go.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:03:34,Subject too Large. Move Away and retry
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:03:48,Aircraft is in QuickShot Mode. Ensure your enviornment is free of potential obstacles.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:04:42,Drag a box around or tap a target on screen. Then tap Go.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:06:08,Drag a box around or tap a target on screen. Then tap Go.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:06:08,Aircraft is in QuickShot Mode. Ensure your enviornment is free of potential obstacles.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:06:15,Camera Settings Adjusted to ActiveTrack
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:07:08,Camera Settings Adjusted to ActiveTrack
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:07:08,Drag a box around or tap a target on screen. Then tap Go.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:07:16,Cannot Identify Subject
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:07:25,Tap to choose a valid zone.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:08:38,Drag a box around or tap a target on screen. Then tap Go.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:08:52,Subject lost. Searching ...
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:09:20,Subject too Small. Get Closer and retry
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:09:59,Subject too Small. Get Closer and retry
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:10:42,Drag a box around or tap a target on screen. Then tap Go.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:10:48,Aircraft is in QuickShot Mode. Ensure your enviornment is free of potential obstacles.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:11:29,Aircraft is returning to the Home Point. Minimum RTH Altitude is 30m. You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:12:22,Obstacle Avoidance will be disabled in landing.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:12:23,The remaining battery is only enough for RTH. Return home now.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:12:59,Landing Canceled
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:13:04,The remaining battery is only enough for RTH. Return home now.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:13:05,Critically Low Power. Aircraft Landing
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:13:05,Obstacle Avoidance will be disabled in landing.
DJI_Phantom_4,df006,mobile_iOS_backup,405-8b5c2ed81a1782a03940dcae438877791c3baf8d,2017-06-29,13:13:19,Command Failed
