drone_model,dataset,controller,source_file,date,time,message
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:25,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:31,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:38,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:41,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:45,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:49,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:52,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:56,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:57,Satellite Positioning Off. Fly with caution
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:11:59,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:12:03,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:12:06,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:12:14,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:12:33,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:12:41,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:13:43,Strong wireless interference. Please fly with caution.
DJI_S1000+,df043,mobile_iOS_backup,492-d2f1c658caec11ea5e0ae74bbdb4a050e0db0539,2018-06-20,12:14:10,Strong wireless interference. Please fly with caution.
