,sentence_idx,token,label
0,0,"""",O
1,0,Can,O
2,0,not,O
3,0,switch,O
4,0,flight,B-PARAMETER
5,0,mode,I-PARAMETER
6,0,.,I-PARAMETER
7,0,Turn,O
8,0,on,O
9,0,"""",O
10,0,"""",O
11,0,Multiple,B-FUNCTION
12,0,Flight,I-FUNCTION
13,0,Modes,I-FUNCTION
14,0,"""",I-FUNCTION
15,0,"""",I-FUNCTION
16,0,to,O
17,0,enable,O
18,0,Atti,B-STATE
19,0,and,O
20,0,Sport,B-STATE
21,0,Modes,I-STATE
22,0,.,O
23,0,"""",O
24,0,,O
25,1,"""",O
26,1,Landing,B-COMPONENT
27,1,Gear,I-COMPONENT
28,1,Raising,O
29,1,.,O
30,1,;,O
31,1,Home,B-PARAMETER
32,1,Point,I-PARAMETER
33,1,Recorded,O
34,1,,O
35,2,Aircraft,B-COMPONENT
36,2,is,O
37,2,close,O
38,2,to,O
39,2,Home,B-PARAMETER
40,2,Point,I-PARAMETER
41,2,.,I-PARAMETER
42,2,Return,B-STATE
43,2,-,I-STATE
44,2,to,I-STATE
45,2,-,I-STATE
46,2,Home,I-STATE
47,2,Mode,I-STATE
48,2,is,O
49,2,now,O
50,2,Auto,B-STATE
51,2,Landing,I-STATE
52,2,Mode,I-STATE
53,2,.,O
54,2,,O
55,3,Aircraft,B-COMPONENT
56,3,is,O
57,3,close,O
58,3,to,O
59,3,the,O
60,3,Home,B-PARAMETER
61,3,Point,I-PARAMETER
62,3,.,I-PARAMETER
63,3,Initiating,O
64,3,Return,B-ACTION
65,3,to,I-ACTION
66,3,Home,I-ACTION
67,3,will,O
68,3,now,O
69,3,trigger,O
70,3,Auto,B-STATE
71,3,Landing,I-STATE
72,3,.,O
73,3,,O
74,4,Aircraft,B-COMPONENT
75,4,is,O
76,4,entering,O
77,4,a,O
78,4,restricted,O
79,4,area,O
80,4,,O
81,5,Aircraft,B-COMPONENT
82,5,is,O
83,5,in,O
84,5,Attitude,B-STATE
85,5,mode,I-STATE
86,5,",",O
87,5,so,O
88,5,that,O
89,5,it,O
90,5,will,O
91,5,not,O
92,5,hover,O
93,5,.,O
94,5,Please,O
95,5,fly,O
96,5,with,O
97,5,caution,O
98,5,.,O
99,5,,O
100,6,Aircraft,B-COMPONENT
101,6,is,O
102,6,in,O
103,6,QuickShot,B-STATE
104,6,Mode,I-STATE
105,6,.,I-STATE
106,6,Ensure,O
107,6,your,O
108,6,enviornment,O
109,6,is,O
110,6,free,O
111,6,of,O
112,6,potential,O
113,6,obstacles,O
114,6,.,O
115,6,,O
116,7,Aircraft,B-COMPONENT
117,7,is,O
118,7,now,O
119,7,following,O
120,7,you,O
121,7,.,O
122,7,,O
123,8,Aircraft,B-COMPONENT
124,8,is,O
125,8,returning,O
126,8,to,O
127,8,the,O
128,8,Home,B-PARAMETER
129,8,Point,I-PARAMETER
130,8,.,I-PARAMETER
131,8,Minimum,B-PARAMETER
132,8,RTH,I-PARAMETER
133,8,Altitude,I-PARAMETER
134,8,is,O
135,8,30,O
