,sentence_idx,token,label
0,0,Aircraft,B-COMPONENT
1,0,is,O
2,0,close,O
3,0,to,O
4,0,Home,B-PARAMETER
5,0,Point,I-PARAMETER
6,0,.,I-PARAMETER
7,0,Return,B-STATE
8,0,-,I-STATE
9,0,to,I-STATE
10,0,-,I-STATE
11,0,Home,I-STATE
12,0,Mode,I-STATE
13,0,is,O
14,0,now,O
15,0,Auto,B-STATE
16,0,Landing,I-STATE
17,0,Mode,I-STATE
18,0,.,O
19,0,,O
20,1,Aircraft,B-COMPONENT
21,1,is,O
22,1,close,O
23,1,to,O
24,1,the,O
25,1,Home,B-PARAMETER
26,1,Point,I-PARAMETER
27,1,.,I-PARAMETER
28,1,Initiating,O
29,1,Return,B-ACTION
30,1,to,I-ACTION
31,1,Home,I-ACTION
32,1,will,O
33,1,now,O
34,1,trigger,O
35,1,Auto,B-STATE
36,1,Landing,I-STATE
37,1,.,O
38,1,,O
39,2,Aircraft,B-COMPONENT
40,2,is,O
41,2,entering,O
42,2,a,O
43,2,restricted,O
44,2,area,O
45,2,,O
46,3,Aircraft,O
47,3,is,O
48,3,in,O
49,3,Attitude,O
50,3,mode,O
51,3,",",O
52,3,so,O
53,3,that,O
54,3,it,O
55,3,will,O
56,3,not,O
57,3,hover,O
58,3,.,O
59,3,Please,O
60,3,fly,O
61,3,with,O
62,3,caution,O
63,3,.,O
64,3,,O
65,4,Aircraft,B-COMPONENT
66,4,is,O
67,4,in,O
68,4,QuickShot,B-STATE
69,4,Mode,I-STATE
70,4,.,I-STATE
71,4,Ensure,O
72,4,your,O
73,4,enviornment,O
74,4,is,O
75,4,free,O
76,4,of,O
77,4,potential,O
78,4,obstacles,O
79,4,.,O
80,4,,O
81,5,Aircraft,B-COMPONENT
82,5,is,O
83,5,now,O
84,5,following,O
85,5,you,O
86,5,.,O
87,5,,O
88,6,Aircraft,B-COMPONENT
89,6,is,O
90,6,returning,O
91,6,to,O
92,6,the,O
93,6,Home,B-PARAMETER
94,6,Point,I-PARAMETER
95,6,.,I-PARAMETER
96,6,Minimum,B-PARAMETER
97,6,RTH,I-PARAMETER
98,6,Altitude,I-PARAMETER
99,6,is,O
100,6,30,O
101,6,m.,O
102,6,You,O
103,6,can,O
104,6,reset,O
105,6,the,O
106,6,RTH,B-PARAMETER
107,6,Altitude,I-PARAMETER
108,6,in,O
109,6,Remote,B-FUNCTION
110,6,Controller,I-FUNCTION
111,6,Settings,I-FUNCTION
112,6,after,O
113,6,cancelling,O
114,6,RTH,B-ACTION
115,6,if,O
116,6,necessary,O
117,6,.,O
118,6,,O
119,7,Aircraft,B-COMPONENT
120,7,is,O
121,7,returning,O
122,7,to,O
123,7,the,O
124,7,Home,B-PARAMETER
125,7,Point,I-PARAMETER
126,7,.,I-PARAMETER
127,7,Minimum,B-PARAMETER
128,7,RTH,I-PARAMETER
129,7,Altitude,I-PARAMETER
130,7,is,O
131,7,30,O
132,7,m.,O
133,7,You,O
134,7,can,O
135,7,reset,O
136,7,the,O
137,7,RTH,B-PARAMETER
138,7,Altitude,I-PARAMETER
139,7,in,O
140,7,Remote,B-FUNCTION
141,7,Controller,I-FUNCTION
142,7,Settings,I-FUNCTION
143,7,after,O
144,7,cancelling,O
145,7,RTH,B-ACTION
146,7,.,O
147,7,,O
148,8,Aircraft,B-COMPONENT
149,8,is,O
150,8,returning,O
151,8,to,O
152,8,the,O
153,8,Home,B-PARAMETER
154,8,Point,I-PARAMETER
155,8,.,I-PARAMETER
156,8,Minimum,B-PARAMETER
