drone_model,dataset,controller,source_file,date,time,message
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:24:31,Taking Off
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:24:31,Taking Off
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:24:32,Taking Off
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:24:32,Taking Off
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:24:32,Home Point Recorded. RTH Altitude:  30m.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:24:32,Home Point Recorded. RTH Altitude:  30m.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:25:15,Camera Settings Adjusted to ActiveTrack
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:25:19,Your palm is too far away from the aircraft. Please step closer.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:25:28,Your palm is too far away from the aircraft. Please step closer.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:25:29,Your palm is too close to the aircraft. Please step farther away.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:25:33,PalmControl in Process
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:25:33,PalmControl in Process
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:25:55,Your palm is too close to the aircraft. Please step farther away.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:26:00,Your palm is too far away from the aircraft. Please step closer.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:26:05,Your palm is too close to the aircraft. Please step farther away.
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:26:10,PalmControl in Process
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:26:10,PalmControl in Process
DJI_Inspire_1,df010,mobile_iOS,336-80799827e1156d2c54438d9e04b6100afbaad8e3,6/29/2017,15:26:27,PalmControl in Process
